X.1,id,X,Y,SOC,CRFVOL,OCSKGM,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,meanTempColdest,meanTempWarmest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex
1,C1201C061,-75.03,40.97,89.96803127,9.340822914,4.499454399,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
2,C1201C062,-75.03,40.97,58.38149043,3.967001424,4.066998895,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
3,C1201C063,-75.03,40.97,39.65057136,4.842468648,3.680105358,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
4,C1201C064,-75.03,40.97,67.16549272,6.965099371,4.207159614,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
5,C1201C065,-75.03,40.97,55.32612387,5.97310087,4.0132452,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
6,C1201F291,-74.71,40.97,156.9707277,3.499121605,5.05605934,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
7,C1201F292,-74.71,40.97,141.5151578,4.616538012,4.952406834,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
8,C1201F293,-74.71,40.97,267.7486473,2.990947702,5.590048657,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
9,C1201F294,-74.71,40.97,309.79456,3.029492207,5.735909368,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
10,C1201F295,-74.71,40.97,308.282654,3.542808997,5.73101707,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
11,C1208W041,-74.44,40.83,96.93040132,0,4.573993209,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
12,C1208W042,-74.44,40.83,40.44807215,0,3.700018982,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
13,C1208W043,-74.44,40.83,30.44209469,0,3.415826344,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
14,C1208W044,-74.44,40.83,105.7555716,0,4.661130503,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
15,C1208W045,-74.44,40.83,28.86543796,0,3.362644961,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
16,C1209F051,-74.38,40.84,807.5246842,0,6.693973623,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
17,C1209F052,-74.38,40.84,200.494933,0,5.300788975,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
18,C1209F053,-74.38,40.84,264.7211698,0,5.578677083,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
19,C1209F054,-74.38,40.84,389.3766251,0,5.964547063,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
20,C1209F055,-74.38,40.84,703.5399419,0,6.556124651,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
21,C1211F011,-74.66,41.29,240.9937373,15.72388624,5.484770947,949.645813,20.31004143,0.215330854,24.92499924,125.974762,4379.362305,2934.4375,3.450000048,-0.425000072,24.5,19.67499924,7,22.55620575,33.51073456,5050.733398,143.6513367,141.0335083,184.3645782
22,C1211F012,-74.66,41.29,181.2825455,22.99930074,5.200056839,949.645813,20.31004143,0.215330854,24.92499924,125.974762,4379.362305,2934.4375,3.450000048,-0.425000072,24.5,19.67499924,7,22.55620575,33.51073456,5050.733398,143.6513367,141.0335083,184.3645782
23,C1211F013,-74.66,41.29,142.2553739,17.32322902,4.95762385,949.645813,20.31004143,0.215330854,24.92499924,125.974762,4379.362305,2934.4375,3.450000048,-0.425000072,24.5,19.67499924,7,22.55620575,33.51073456,5050.733398,143.6513367,141.0335083,184.3645782
24,C1211F014,-74.66,41.29,119.4665547,23.29841796,4.783036455,949.645813,20.31004143,0.215330854,24.92499924,125.974762,4379.362305,2934.4375,3.450000048,-0.425000072,24.5,19.67499924,7,22.55620575,33.51073456,5050.733398,143.6513367,141.0335083,184.3645782
25,C1211F015,-74.66,41.29,231.0424033,45.61985156,5.442601258,949.645813,20.31004143,0.215330854,24.92499924,125.974762,4379.362305,2934.4375,3.450000048,-0.425000072,24.5,19.67499924,7,22.55620575,33.51073456,5050.733398,143.6513367,141.0335083,184.3645782
26,C1211F181,-74.47,41.15,160.6652398,1.685650148,5.079322944,945.9380493,10.99042797,0.33653301,24.6875,149.8086548,4394.524902,2935.125,3.625,-0.212500095,24.47500038,19.70000076,7,22.79882431,33.69168854,4998.258301,142.7749023,140.0418243,185.65625
27,C1211F182,-74.47,41.15,68.79600102,3.695402299,4.231145619,945.9380493,10.99042797,0.33653301,24.6875,149.8086548,4394.524902,2935.125,3.625,-0.212500095,24.47500038,19.70000076,7,22.79882431,33.69168854,4998.258301,142.7749023,140.0418243,185.65625
28,C1211F183,-74.47,41.15,227.4146002,2.653094518,5.426774784,945.9380493,10.99042797,0.33653301,24.6875,149.8086548,4394.524902,2935.125,3.625,-0.212500095,24.47500038,19.70000076,7,22.79882431,33.69168854,4998.258301,142.7749023,140.0418243,185.65625
29,C1211F184,-74.47,41.15,221.2699938,2.033288423,5.399383647,945.9380493,10.99042797,0.33653301,24.6875,149.8086548,4394.524902,2935.125,3.625,-0.212500095,24.47500038,19.70000076,7,22.79882431,33.69168854,4998.258301,142.7749023,140.0418243,185.65625
30,C1211F185,-74.47,41.15,254.0053912,1.427839739,5.537355492,945.9380493,10.99042797,0.33653301,24.6875,149.8086548,4394.524902,2935.125,3.625,-0.212500095,24.47500038,19.70000076,7,22.79882431,33.69168854,4998.258301,142.7749023,140.0418243,185.65625
31,C1304C041,-75.42,39.74,122.9707453,4.991722058,4.811946484,1032.463257,24.69779778,0.104929984,24.35000038,122.7470398,5633.225098,3873.225098,7.099999905,3.399999857,27.75,23.29999924,8,28.34300804,69.66877747,5054.748535,149.6162109,147.4851532,286.9791565
32,C1304C042,-75.42,39.74,89.72771313,2.05255655,4.496779675,1032.463257,24.69779778,0.104929984,24.35000038,122.7470398,5633.225098,3873.225098,7.099999905,3.399999857,27.75,23.29999924,8,28.34300804,69.66877747,5054.748535,149.6162109,147.4851532,286.9791565
33,C1304C043,-75.42,39.74,98.52539343,5.168831064,4.590314316,1032.463257,24.69779778,0.104929984,24.35000038,122.7470398,5633.225098,3873.225098,7.099999905,3.399999857,27.75,23.29999924,8,28.34300804,69.66877747,5054.748535,149.6162109,147.4851532,286.9791565
34,C1304C044,-75.42,39.74,97.20367293,2.749929995,4.576808498,1032.463257,24.69779778,0.104929984,24.35000038,122.7470398,5633.225098,3873.225098,7.099999905,3.399999857,27.75,23.29999924,8,28.34300804,69.66877747,5054.748535,149.6162109,147.4851532,286.9791565
35,C1304C045,-75.42,39.74,114.9347689,0.035781553,4.74436474,1032.463257,24.69779778,0.104929984,24.35000038,122.7470398,5633.225098,3873.225098,7.099999905,3.399999857,27.75,23.29999924,8,28.34300804,69.66877747,5054.748535,149.6162109,147.4851532,286.9791565
36,C1304C061,-74.81,39.69,51.85632479,1.528280262,3.94847691,927.9799805,19.29246902,0.166235402,23.41250038,127.1463776,5507.325195,3742.525146,6.900000095,3.600000143,27.01250076,23.39999962,8,26.80929565,63.92840958,4404.14502,132.9039154,132.9039154,273.4791565
37,C1304C062,-74.81,39.69,105.9042444,2.281768935,4.662535331,927.9799805,19.29246902,0.166235402,23.41250038,127.1463776,5507.325195,3742.525146,6.900000095,3.600000143,27.01250076,23.39999962,8,26.80929565,63.92840958,4404.14502,132.9039154,132.9039154,273.4791565
38,C1304C063,-74.81,39.69,39.22379548,7.443950845,3.66928359,927.9799805,19.29246902,0.166235402,23.41250038,127.1463776,5507.325195,3742.525146,6.900000095,3.600000143,27.01250076,23.39999962,8,26.80929565,63.92840958,4404.14502,132.9039154,132.9039154,273.4791565
39,C1304C064,-74.81,39.69,48.57566981,2.785543339,3.883122784,927.9799805,19.29246902,0.166235402,23.41250038,127.1463776,5507.325195,3742.525146,6.900000095,3.600000143,27.01250076,23.39999962,8,26.80929565,63.92840958,4404.14502,132.9039154,132.9039154,273.4791565
40,C1304C065,-74.81,39.69,51.73725386,3.097473179,3.9461781,927.9799805,19.29246902,0.166235402,23.41250038,127.1463776,5507.325195,3742.525146,6.900000095,3.600000143,27.01250076,23.39999962,8,26.80929565,63.92840958,4404.14502,132.9039154,132.9039154,273.4791565
41,C1304F011,-74.45,40.09,169.5766233,0,5.13330488,936.3414307,14.66303635,0.198680848,23.61249924,131.3912811,5345.950195,3613.637451,6.425000191,3.037500143,26.64999962,22.79999924,8,26.14396286,63.93911362,4553.152832,135.8625488,121.0335464,260.802063
42,C1304F012,-74.45,40.09,238.4839775,0,5.474302128,936.3414307,14.66303635,0.198680848,23.61249924,131.3912811,5345.950195,3613.637451,6.425000191,3.037500143,26.64999962,22.79999924,8,26.14396286,63.93911362,4553.152832,135.8625488,121.0335464,260.802063
43,C1304F013,-74.45,40.09,263.2690654,0,5.573176572,936.3414307,14.66303635,0.198680848,23.61249924,131.3912811,5345.950195,3613.637451,6.425000191,3.037500143,26.64999962,22.79999924,8,26.14396286,63.93911362,4553.152832,135.8625488,121.0335464,260.802063
44,C1304F014,-74.45,40.09,706.7385653,0,6.560660817,936.3414307,14.66303635,0.198680848,23.61249924,131.3912811,5345.950195,3613.637451,6.425000191,3.037500143,26.64999962,22.79999924,8,26.14396286,63.93911362,4553.152832,135.8625488,121.0335464,260.802063
45,C1304F015,-74.45,40.09,257.2934432,0,5.550217236,936.3414307,14.66303635,0.198680848,23.61249924,131.3912811,5345.950195,3613.637451,6.425000191,3.037500143,26.64999962,22.79999924,8,26.14396286,63.93911362,4553.152832,135.8625488,121.0335464,260.802063
46,C1304F071,-74.91,39.69,172.127472,0,5.148235319,942.8581543,18.1298542,0.171659872,23.53749847,128.547226,5502.962402,3743.675049,6.900000095,3.512500048,27.04999924,23.29999924,8,26.9680481,64.56724548,4502.055664,135.377533,132.9974518,273.4791565
47,C1304F072,-74.91,39.69,262.0878211,0,5.568679643,942.8581543,18.1298542,0.171659872,23.53749847,128.547226,5502.962402,3743.675049,6.900000095,3.512500048,27.04999924,23.29999924,8,26.9680481,64.56724548,4502.055664,135.377533,132.9974518,273.4791565
48,C1304F073,-74.91,39.69,101.225031,0.000696638,4.617346068,942.8581543,18.1298542,0.171659872,23.53749847,128.547226,5502.962402,3743.675049,6.900000095,3.512500048,27.04999924,23.29999924,8,26.9680481,64.56724548,4502.055664,135.377533,132.9974518,273.4791565
49,C1304F074,-74.91,39.69,290.570088,0.026852239,5.671844814,942.8581543,18.1298542,0.171659872,23.53749847,128.547226,5502.962402,3743.675049,6.900000095,3.512500048,27.04999924,23.29999924,8,26.9680481,64.56724548,4502.055664,135.377533,132.9974518,273.4791565
50,C1304F075,-74.91,39.69,127.2263455,0,4.845967748,942.8581543,18.1298542,0.171659872,23.53749847,128.547226,5502.962402,3743.675049,6.900000095,3.512500048,27.04999924,23.29999924,8,26.9680481,64.56724548,4502.055664,135.377533,132.9974518,273.4791565
51,C1305C041,-74.82,40.38,117.0435491,1,4.76254608,1010.384277,21.59387016,0.130291134,24.57500076,122.251091,5267.075195,3575.3125,6.074999809,2.287499905,26.86249924,22.25,8,26.43194389,38.3973732,5101.59375,148.7921143,146.5262604,258.0625
52,C1305C042,-74.82,40.38,109.0871023,1,4.692146667,1010.384277,21.59387016,0.130291134,24.57500076,122.251091,5267.075195,3575.3125,6.074999809,2.287499905,26.86249924,22.25,8,26.43194389,38.3973732,5101.59375,148.7921143,146.5262604,258.0625
53,C1305C043,-74.82,40.38,124.0668794,1,4.82082077,1010.384277,21.59387016,0.130291134,24.57500076,122.251091,5267.075195,3575.3125,6.074999809,2.287499905,26.86249924,22.25,8,26.43194389,38.3973732,5101.59375,148.7921143,146.5262604,258.0625
54,C1305C044,-74.82,40.38,232.1631893,1,5.447440527,1010.384277,21.59387016,0.130291134,24.57500076,122.251091,5267.075195,3575.3125,6.074999809,2.287499905,26.86249924,22.25,8,26.43194389,38.3973732,5101.59375,148.7921143,146.5262604,258.0625
55,C1305C045,-74.82,40.38,112.8406972,1,4.725977065,1010.384277,21.59387016,0.130291134,24.57500076,122.251091,5267.075195,3575.3125,6.074999809,2.287499905,26.86249924,22.25,8,26.43194389,38.3973732,5101.59375,148.7921143,146.5262604,258.0625
56,C1305F191,-74.29,39.8,321.6017679,4.711008401,5.773314034,850.3018188,17.70824623,0.196881413,22.6875,127.6298523,5392.612305,3626.8125,6.699999809,3.699999809,26.38750076,23.29999924,8,25.51988602,59.32024384,3947.080078,121.075119,108.6957703,261.46875
57,C1305F192,-74.29,39.8,323.6959523,0.663997397,5.779804656,850.3018188,17.70824623,0.196881413,22.6875,127.6298523,5392.612305,3626.8125,6.699999809,3.699999809,26.38750076,23.29999924,8,25.51988602,59.32024384,3947.080078,121.075119,108.6957703,261.46875
58,C1305F193,-74.29,39.8,767.4399727,2.124623544,6.643060265,850.3018188,17.70824623,0.196881413,22.6875,127.6298523,5392.612305,3626.8125,6.699999809,3.699999809,26.38750076,23.29999924,8,25.51988602,59.32024384,3947.080078,121.075119,108.6957703,261.46875
59,C1305F194,-74.29,39.8,397.6693574,7.64324261,5.9856209,850.3018188,17.70824623,0.196881413,22.6875,127.6298523,5392.612305,3626.8125,6.699999809,3.699999809,26.38750076,23.29999924,8,25.51988602,59.32024384,3947.080078,121.075119,108.6957703,261.46875
60,C1305F195,-74.29,39.8,416.9897313,1.780618336,6.033061596,850.3018188,17.70824623,0.196881413,22.6875,127.6298523,5392.612305,3626.8125,6.699999809,3.699999809,26.38750076,23.29999924,8,25.51988602,59.32024384,3947.080078,121.075119,108.6957703,261.46875
61,C1305W061,-74.7,39.16,730.1954154,0,6.593312191,759.3173218,16.08890343,0.282139152,21.875,136.9269409,5548.399902,3736.574951,7.224999905,4.574999809,26.45000076,24.20000076,8,25.11434746,54.69715881,3264.865234,104.2912064,69.00305939,271.0625
62,C1305W062,-74.7,39.16,686.3511459,0,6.531389371,759.3173218,16.08890343,0.282139152,21.875,136.9269409,5548.399902,3736.574951,7.224999905,4.574999809,26.45000076,24.20000076,8,25.11434746,54.69715881,3264.865234,104.2912064,69.00305939,271.0625
63,C1305W063,-74.7,39.16,468.6753849,0,6.149910386,759.3173218,16.08890343,0.282139152,21.875,136.9269409,5548.399902,3736.574951,7.224999905,4.574999809,26.45000076,24.20000076,8,25.11434746,54.69715881,3264.865234,104.2912064,69.00305939,271.0625
64,C1305W064,-74.7,39.16,574.4282033,0,6.353375117,759.3173218,16.08890343,0.282139152,21.875,136.9269409,5548.399902,3736.574951,7.224999905,4.574999809,26.45000076,24.20000076,8,25.11434746,54.69715881,3264.865234,104.2912064,69.00305939,271.0625
65,C1305W065,-74.7,39.16,667.709412,0,6.503853067,759.3173218,16.08890343,0.282139152,21.875,136.9269409,5548.399902,3736.574951,7.224999905,4.574999809,26.45000076,24.20000076,8,25.11434746,54.69715881,3264.865234,104.2912064,69.00305939,271.0625
66,C1305W071,-74.91,40.5,824.5458966,1,6.714832806,1006.016907,18.1785965,0.20141542,24.67499924,131.7948303,5080,3438.199951,5.525000095,1.700000048,26.375,21.64999962,7,25.76457596,37.60400009,5138.791992,148.9881287,146.6088409,242.6875
67,C1305W072,-74.91,40.5,963.2425496,1.020145042,6.870305249,1006.016907,18.1785965,0.20141542,24.67499924,131.7948303,5080,3438.199951,5.525000095,1.700000048,26.375,21.64999962,7,25.76457596,37.60400009,5138.791992,148.9881287,146.6088409,242.6875
68,C1305W073,-74.91,40.5,974.6681152,0.998848004,6.882097018,1006.016907,18.1785965,0.20141542,24.67499924,131.7948303,5080,3438.199951,5.525000095,1.700000048,26.375,21.64999962,7,25.76457596,37.60400009,5138.791992,148.9881287,146.6088409,242.6875
69,C1305W074,-74.91,40.5,1000,1,6.907755279,1006.016907,18.1785965,0.20141542,24.67499924,131.7948303,5080,3438.199951,5.525000095,1.700000048,26.375,21.64999962,7,25.76457596,37.60400009,5138.791992,148.9881287,146.6088409,242.6875
70,C1305W075,-74.91,40.5,781.0812933,1.014125116,6.660679233,1006.016907,18.1785965,0.20141542,24.67499924,131.7948303,5080,3438.199951,5.525000095,1.700000048,26.375,21.64999962,7,25.76457596,37.60400009,5138.791992,148.9881287,146.6088409,242.6875
71,C1306F011,-75.2,39.36,749.898917,0,6.61993842,931.2225952,15.9175415,0.198258638,23.3125,133.3588867,5598.149902,3816.350098,7.199999809,3.899999857,27.21249962,23.67499924,8,27.35759544,64.41149902,4358.655762,132.3260651,129.9196472,280.46875
72,C1306F012,-75.2,39.36,871.1346717,0,6.769796582,931.2225952,15.9175415,0.198258638,23.3125,133.3588867,5598.149902,3816.350098,7.199999809,3.899999857,27.21249962,23.67499924,8,27.35759544,64.41149902,4358.655762,132.3260651,129.9196472,280.46875
73,C1306F013,-75.2,39.36,696.3917539,0,6.545912367,931.2225952,15.9175415,0.198258638,23.3125,133.3588867,5598.149902,3816.350098,7.199999809,3.899999857,27.21249962,23.67499924,8,27.35759544,64.41149902,4358.655762,132.3260651,129.9196472,280.46875
74,C1306F014,-75.2,39.36,396.2619488,0,5.982075479,931.2225952,15.9175415,0.198258638,23.3125,133.3588867,5598.149902,3816.350098,7.199999809,3.899999857,27.21249962,23.67499924,8,27.35759544,64.41149902,4358.655762,132.3260651,129.9196472,280.46875
75,C1306F015,-75.2,39.36,270.4841072,0.005662168,5.600213343,931.2225952,15.9175415,0.198258638,23.3125,133.3588867,5598.149902,3816.350098,7.199999809,3.899999857,27.21249962,23.67499924,8,27.35759544,64.41149902,4358.655762,132.3260651,129.9196472,280.46875
76,C1306F021,-74.54,39.68,1000,0.034793398,6.907755279,877.6178589,15.78215122,0.212898806,22.91250038,132.1190796,5474.137695,3702.087402,6.900000095,3.799999952,26.71250153,23.47500038,8,26.08440971,61.0265007,4093.174805,124.9356155,124.9356155,269.072937
77,C1306F022,-74.54,39.68,1000,0,6.907755279,877.6178589,15.78215122,0.212898806,22.91250038,132.1190796,5474.137695,3702.087402,6.900000095,3.799999952,26.71250153,23.47500038,8,26.08440971,61.0265007,4093.174805,124.9356155,124.9356155,269.072937
78,C1306F023,-74.54,39.68,1000,0.061905015,6.907755279,877.6178589,15.78215122,0.212898806,22.91250038,132.1190796,5474.137695,3702.087402,6.900000095,3.799999952,26.71250153,23.47500038,8,26.08440971,61.0265007,4093.174805,124.9356155,124.9356155,269.072937
79,C1306F024,-74.54,39.68,849.9497713,0,6.745177255,877.6178589,15.78215122,0.212898806,22.91250038,132.1190796,5474.137695,3702.087402,6.900000095,3.799999952,26.71250153,23.47500038,8,26.08440971,61.0265007,4093.174805,124.9356155,124.9356155,269.072937
80,C1306F025,-74.54,39.68,967.9436976,0.072434849,6.875173922,877.6178589,15.78215122,0.212898806,22.91250038,132.1190796,5474.137695,3702.087402,6.900000095,3.799999952,26.71250153,23.47500038,8,26.08440971,61.0265007,4093.174805,124.9356155,124.9356155,269.072937
81,C1306F031,-74.28,39.97,944.1943818,0,6.850332058,885.380127,18.87560272,0.184545115,23.08750153,127.0055847,5397.087402,3642.074951,6.675000191,3.487500191,26.57500076,23.20000076,8,25.7712574,61.19970703,4195.701172,127.2185364,113.7665253,263.3333435
82,C1306F032,-74.28,39.97,1000,0,6.907755279,885.380127,18.87560272,0.184545115,23.08750153,127.0055847,5397.087402,3642.074951,6.675000191,3.487500191,26.57500076,23.20000076,8,25.7712574,61.19970703,4195.701172,127.2185364,113.7665253,263.3333435
83,C1306F033,-74.28,39.97,1000,0,6.907755279,885.380127,18.87560272,0.184545115,23.08750153,127.0055847,5397.087402,3642.074951,6.675000191,3.487500191,26.57500076,23.20000076,8,25.7712574,61.19970703,4195.701172,127.2185364,113.7665253,263.3333435
84,C1306F034,-74.28,39.97,1000,0,6.907755279,885.380127,18.87560272,0.184545115,23.08750153,127.0055847,5397.087402,3642.074951,6.675000191,3.487500191,26.57500076,23.20000076,8,25.7712574,61.19970703,4195.701172,127.2185364,113.7665253,263.3333435
85,C1306F035,-74.28,39.97,1000,0,6.907755279,885.380127,18.87560272,0.184545115,23.08750153,127.0055847,5397.087402,3642.074951,6.675000191,3.487500191,26.57500076,23.20000076,8,25.7712574,61.19970703,4195.701172,127.2185364,113.7665253,263.3333435
86,C1306F051,-74.87,39.76,1000,0.022175954,6.907755279,952.7649536,19.7347393,0.154413164,23.64999962,126.3273926,5482.787598,3728.737549,6.800000191,3.400000095,27.04999924,23.20000076,8,26.97842216,65.20749664,4579.955078,137.1997528,134.6401215,272.3645935
87,C1306F052,-74.87,39.76,819.6220309,0.03074,6.708843296,952.7649536,19.7347393,0.154413164,23.64999962,126.3273926,5482.787598,3728.737549,6.800000191,3.400000095,27.04999924,23.20000076,8,26.97842216,65.20749664,4579.955078,137.1997528,134.6401215,272.3645935
88,C1306F053,-74.87,39.76,684.9990618,0,6.529417469,952.7649536,19.7347393,0.154413164,23.64999962,126.3273926,5482.787598,3728.737549,6.800000191,3.400000095,27.04999924,23.20000076,8,26.97842216,65.20749664,4579.955078,137.1997528,134.6401215,272.3645935
89,C1306F054,-74.87,39.76,627.0536539,0.551975964,6.441032109,952.7649536,19.7347393,0.154413164,23.64999962,126.3273926,5482.787598,3728.737549,6.800000191,3.400000095,27.04999924,23.20000076,8,26.97842216,65.20749664,4579.955078,137.1997528,134.6401215,272.3645935
90,C1306F055,-74.87,39.76,798.6676265,0,6.682944872,952.7649536,19.7347393,0.154413164,23.64999962,126.3273926,5482.787598,3728.737549,6.800000191,3.400000095,27.04999924,23.20000076,8,26.97842216,65.20749664,4579.955078,137.1997528,134.6401215,272.3645935
91,C1306W101,-74.76,39.68,920.3149197,0.007359771,6.824715915,920.8651123,18.03404045,0.181453258,23.32499886,129.2575836,5505.825195,3739.475098,6.900000095,3.650000095,26.97499847,23.39999962,8,26.73237991,63.39666748,4362.295898,131.8819733,131.8819733,273.125
92,C1306W102,-74.76,39.68,784.1086783,0.021200266,6.664547631,920.8651123,18.03404045,0.181453258,23.32499886,129.2575836,5505.825195,3739.475098,6.900000095,3.650000095,26.97499847,23.39999962,8,26.73237991,63.39666748,4362.295898,131.8819733,131.8819733,273.125
93,C1306W103,-74.76,39.68,1000,0.024988018,6.907755279,920.8651123,18.03404045,0.181453258,23.32499886,129.2575836,5505.825195,3739.475098,6.900000095,3.650000095,26.97499847,23.39999962,8,26.73237991,63.39666748,4362.295898,131.8819733,131.8819733,273.125
